CrashTownName,Total,Fatals,Injury,No_Injury
Andover,79,1,23,55
Ansonia,625,0,167,455
Ashford,127,0,45,82
Avon,681,2,137,540
Barkhamsted,123,0,33,89
Beacon Falls,213,1,55,157
Berlin,1312,2,370,939
Bethany,169,2,58,109
Bethel,830,0,151,679
Bethlehem,53,2,12,38
Bloomfield,1301,6,349,943
Bolton,156,5,38,113
Bozrah,91,0,26,65
Branford,1274,2,322,945
Bridgeport,11199,17,3134,7978
Bridgewater,52,1,18,33
Bristol,2828,8,664,2139
Brookfield,786,3,182,599
Brooklyn,214,6,60,148
Burlington,185,3,60,120
Canaan,58,1,13,44
Canterbury,117,5,27,84
Canton,381,3,70,307
Chaplin,86,1,26,59
Cheshire,1158,3,290,862
Chester,115,1,25,89
Clinton,427,2,84,331
Colchester,465,10,105,349
Colebrook,40,0,16,24
Columbia,145,3,50,92
Cornwall,58,1,17,40
Coventry,420,2,107,298
Cromwell,969,5,217,739
Danbury,6183,9,1245,4901
Darien,1387,1,312,1068
Deep River,135,0,27,108
Derby,812,3,148,659
Durham,222,2,55,164
East Granby,207,2,59,146
East Haddam,170,0,51,116
East Hampton,245,4,62,179
East Hartford,2960,8,768,2173
East Haven,1164,5,293,862
East Lyme,646,3,147,495
East Windsor,655,3,185,464
Eastford,48,1,18,29
Easton,267,1,80,184
Ellington,305,2,81,222
Enfield,1442,7,441,983
Essex,132,2,28,101
Fairfield,3661,8,745,2896
Farmington,1755,3,371,1376
Franklin,124,2,33,89
Glastonbury,1141,5,263,866
Goshen,70,1,27,42
Granby,290,2,69,217
Greenwich,3361,4,564,2784
Griswold,294,4,65,223
Groton,1522,4,270,1236
Guilford,748,5,175,566
Haddam,279,6,76,196
Hamden,3669,8,781,2864
Hampton,43,0,7,35
Hartford,13182,35,3516,9628
Hartland,30,1,12,16
Harwinton,217,2,49,166
Hebron,150,1,41,108
Kent,62,1,19,42
Killingly,676,5,141,528
Killingworth,133,0,45,88
Lebanon,175,4,52,119
Ledyard,304,2,67,234
Lisbon,217,3,53,160
Litchfield,388,2,93,290
Lyme,31,0,10,21
Madison,555,3,128,421
Manchester,3043,8,888,2137
Mansfield,794,7,154,623
Marlborough,238,1,59,177
Mashantucket,2,0,0,2
Meriden,4204,15,1073,3109
Middlebury,540,2,138,397
Middlefield,150,0,40,108
Middletown,3011,10,678,2319
Milford,3217,6,1002,2208
Monroe,791,1,193,594
Montville,794,2,178,608
Morris,69,0,18,51
Naugatuck,1108,1,250,847
New Britain,3093,10,897,2166
New Canaan,812,1,166,641
New Fairfield,225,0,53,172
New Hartford,235,4,61,167
New Haven,12918,36,3567,9287
New London,1802,1,358,1438
New Milford,1104,2,280,819
Newington,1620,3,443,1172
Newtown,1574,5,332,1232
Norfolk,48,1,14,33
North Branford,422,4,113,302
North Canaan,121,3,27,91
North Haven,2254,8,593,1646
North Stonington,244,7,42,195
Norwalk,6148,9,1149,4970
Norwich,2474,11,494,1964
Old Lyme,303,2,80,220
Old Saybrook,550,2,83,465
Orange,1829,6,462,1358
Oxford,352,1,87,262
Plainfield,574,6,140,425
Plainville,1086,6,304,773
Plymouth,411,0,125,279
Pomfret,107,2,31,73
Portland,307,1,73,231
Preston,271,6,77,188
Prospect,272,5,71,195
Putnam,343,2,75,266
Redding,364,0,69,294
Ridgefield,754,2,111,635
Rocky Hill,1090,5,285,795
Roxbury,88,0,18,69
Salem,109,1,39,69
Salisbury,144,4,25,114
Scotland,40,2,13,25
Seymour,736,3,161,570
Sharon,86,2,19,63
Shelton,1572,6,371,1187
Sherman,90,0,28,62
Simsbury,650,2,132,513
Somers,203,2,56,144
South Windsor,811,0,258,549
Southbury,902,7,187,702
Southington,2100,7,486,1600
Sprague,59,2,12,45
Stafford,276,1,72,202
Stamford,9997,11,1874,8088
Sterling,58,1,17,39
Stonington,793,5,201,582
Stratford,3186,7,708,2455
Suffield,398,5,112,281
Thomaston,436,4,98,331
Thompson,271,2,79,188
Tolland,451,4,102,344
Torrington,1500,6,305,1176
Trumbull,2037,8,461,1548
Union,104,3,21,80
Vernon,1465,7,351,1105
Voluntown,67,1,22,44
Wallingford,2420,10,582,1807
Warren,21,0,5,16
Washington,121,0,31,89
Waterbury,10299,24,2697,7521
Waterford,1091,3,265,819
Watertown,759,7,181,563
West Hartford,3127,3,908,2205
West Haven,3257,6,796,2449
Westbrook,247,4,69,172
Weston,106,3,24,79
Westport,2270,11,537,1716
Wethersfield,1567,3,328,1232
Willington,218,5,47,165
Wilton,886,0,203,683
Winchester,478,5,90,379
Windham,896,2,225,663
Windsor,2039,9,496,1523
Windsor Locks,610,1,147,460
Wolcott,440,1,126,312
Woodbridge,548,4,152,388
Woodbury,258,0,77,181
Woodstock,159,0,51,107
