town,Clear,Blowing_Sand_Soil_Dirt,Cloudy,Fog_Smog_Smoke,Rain,Sleet_or_Hail,Freezing_Rain_or_Freezing_Drizzle,Snow,Blowing_Snow,Not_Applicable,Severe_Crosswinds,Other,Unknown
Andover,62,0,0,1,2,1,1,1,0,0,0,0,0
Ansonia,436,0,22,1,62,1,4,10,3,1,0,1,1
Ashford,81,0,4,1,14,0,3,7,3,0,1,0,0
Avon,461,0,19,2,51,2,7,26,3,0,0,1,3
Barkhamsted,82,0,3,2,9,0,2,6,0,0,0,0,2
Beacon Falls,128,0,12,0,26,2,6,6,0,1,0,0,0
Berlin,861,0,54,1,137,2,19,14,5,0,1,1,0
Bethany,111,0,13,4,11,0,0,2,0,0,1,0,1
Bethel,554,0,57,1,79,4,6,13,0,0,0,1,0
Bethlehem,35,0,4,0,6,0,0,2,1,0,0,0,0
Bloomfield,972,0,39,1,93,2,4,22,3,1,1,1,5
Bolton,97,0,7,4,12,0,0,6,0,0,0,0,0
Bozrah,60,0,2,2,13,0,1,1,0,0,0,1,0
Branford,929,0,45,3,95,0,6,7,4,0,1,4,1
Bridgeport,8156,1,467,7,979,5,61,102,20,2,8,5,72
Bridgewater,37,0,5,1,4,0,0,0,1,0,0,0,0
Bristol,2058,0,67,6,248,2,33,64,2,0,1,1,7
Brookfield,537,0,41,1,47,4,3,7,1,1,0,0,1
Brooklyn,145,0,8,1,18,0,1,6,1,0,0,0,0
Burlington,120,0,8,1,15,0,3,7,4,0,0,1,0
Canaan,35,0,5,0,2,2,1,5,2,0,0,0,0
Canterbury,78,0,2,0,12,0,1,7,0,0,0,0,0
Canton,273,0,6,1,28,0,4,8,2,0,0,0,2
Chaplin,58,0,2,1,8,0,2,2,1,0,0,0,0
Cheshire,792,0,52,2,107,3,9,19,2,1,1,1,1
Chester,78,0,3,1,4,1,6,2,1,0,0,0,1
Clinton,299,0,15,2,51,0,3,4,1,0,1,0,6
Colchester,297,0,16,1,45,1,8,21,2,0,0,0,0
Colebrook,20,0,4,0,4,2,0,2,1,0,0,0,0
Columbia,99,0,3,0,13,0,2,4,0,0,0,0,0
Cornwall,34,0,7,0,2,0,0,6,2,0,0,1,0
Coventry,260,0,18,10,39,4,0,18,3,0,0,1,4
Cromwell,643,0,40,3,81,0,11,18,1,2,0,2,14
Danbury,4226,0,248,3,618,7,43,108,11,1,4,2,72
Darien,846,0,74,3,107,2,0,23,0,0,0,0,3
Deep River,90,0,9,0,15,1,2,0,1,1,1,0,1
Derby,549,0,66,1,94,0,1,15,0,0,0,0,0
Durham,156,0,9,1,18,2,4,2,0,0,1,1,0
East Granby,132,0,19,1,9,1,0,5,3,0,1,0,1
East Haddam,112,0,6,2,20,0,2,4,0,0,1,0,0
East Hampton,154,0,20,0,25,0,4,2,4,0,1,0,1
East Hartford,2123,0,128,5,258,5,22,32,3,2,2,2,9
East Haven,872,0,30,0,85,0,2,23,4,0,0,2,1
East Lyme,483,0,17,1,42,2,0,6,5,0,0,0,0
East Windsor,480,0,34,1,50,3,11,9,1,0,1,0,0
Eastford,21,0,1,0,8,0,4,4,0,0,0,0,0
Easton,181,0,10,0,26,1,0,3,0,0,0,0,0
Ellington,193,0,13,0,28,1,5,9,0,1,0,1,1
Enfield,1008,0,78,2,114,2,3,30,2,0,0,0,20
Essex,92,0,3,0,6,0,0,3,4,0,0,0,0
Fairfield,2373,0,265,8,327,7,19,58,10,0,3,3,25
Farmington,1140,0,111,4,179,4,9,41,6,1,0,2,6
Franklin,85,0,3,1,11,0,1,0,3,0,1,1,0
