Town,UT,NC,WI,ON,SI,MA,MI,NB,TN,NH,AK,OK,KY,OT,CO,NV,SD,PA,CH,WV,GA,RI,IN,MX,DC,BC,MD,OR,QC,CT,AR,MN,AL,ID,TX,NM,CU,NS,ND,ME,PR,IL,MO,SC,YT,DE,FL,TA,MP,CA,WY,HI,OH,NE,VT,NY,MS,NJ,AB,IA,KS,LA,WA,PE,MB,AZ,VA,MT
Andover,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansonia,0,1,0,0,0,6,0,0,0,0,0,5,0,0,1,0,0,2,0,0,5,0,0,0,0,0,2,0,0,1097,0,0,0,0,12,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,6,1,0
Ashford,0,0,1,0,0,14,0,0,0,3,0,2,0,0,0,0,0,3,0,0,1,9,1,0,0,0,1,0,0,135,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
Avon,0,0,3,0,0,24,0,0,0,3,0,5,0,0,0,0,0,4,0,0,11,3,1,0,0,0,1,0,0,1012,0,1,0,0,23,0,0,0,0,3,0,4,1,0,0,1,3,0,0,0,0,0,5,0,1,10,0,3,0,0,0,0,0,0,0,17,4,0
Barkhamsted,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,168,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Falls,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,295,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,0,2,5,0,0,31,2,0,0,2,0,10,1,0,0,0,0,15,0,0,15,2,1,0,1,0,0,0,0,2128,0,4,0,0,27,0,0,0,0,3,0,11,1,2,0,2,6,0,0,0,0,0,3,0,0,26,0,14,0,0,0,0,0,0,0,14,5,1
Bethany,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,249,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0
Bethel,0,2,0,0,0,9,1,0,1,2,0,8,0,0,0,0,0,12,0,1,6,0,5,0,0,0,0,1,0,1275,0,2,0,0,8,0,0,1,0,3,0,1,1,1,0,1,6,0,0,2,0,0,7,1,0,62,0,9,0,2,0,0,0,0,0,3,0,0
Bethlehem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield,0,2,1,0,0,61,2,0,1,4,0,15,0,0,0,0,0,4,0,0,18,2,4,0,0,0,3,0,0,2061,0,3,0,0,17,0,0,0,0,3,0,6,1,0,0,2,7,0,0,3,0,0,6,2,0,23,0,15,0,0,0,0,0,0,0,15,3,0
Bolton,0,0,0,0,0,9,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,224,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Bozrah,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Branford,0,2,2,0,0,47,2,0,3,0,0,8,0,0,1,0,0,13,0,0,13,22,4,0,1,0,11,1,0,1993,3,1,0,0,37,0,0,0,0,1,0,12,2,1,0,2,9,0,0,1,0,0,7,1,0,53,0,18,0,0,0,1,0,0,0,24,4,0
Bridgeport,0,45,13,0,1,222,3,0,8,17,0,115,3,0,24,4,0,67,0,0,78,35,21,0,1,0,26,4,0,18817,7,19,6,0,164,0,0,0,0,13,1,38,17,27,0,5,61,0,0,11,0,0,39,0,2,604,2,160,1,2,1,4,4,0,0,131,39,2
Bridgewater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bristol,0,6,6,0,0,35,1,0,1,11,0,29,0,0,0,0,0,13,0,0,37,5,2,0,0,0,2,0,0,4750,0,10,1,0,69,0,0,0,0,5,0,12,9,0,0,1,11,0,0,1,0,0,17,0,1,23,1,7,0,0,0,0,0,0,0,43,4,1
Brookfield,0,1,2,0,0,9,0,0,1,1,1,6,0,0,2,0,0,6,0,0,24,1,2,0,0,0,3,0,0,1146,2,3,1,0,26,0,0,0,0,1,0,4,1,2,0,0,11,0,0,0,0,0,7,0,0,109,0,2,0,0,0,0,0,0,0,13,1,0
Brooklyn,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,1,0,311,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0
Burlington,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,278,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Canaan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Canterbury,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Canton,0,0,1,0,0,8,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,605,0,1,0,0,6,0,0,0,0,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,1,0
Chaplin,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire,0,2,2,0,0,27,2,1,4,4,0,10,1,0,0,0,0,19,0,0,12,4,9,0,0,0,3,1,0,1804,2,0,2,0,22,0,0,0,0,5,0,7,1,1,1,0,16,0,0,8,0,0,5,0,2,29,0,21,0,1,1,0,0,0,0,11,3,0
Chester,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,133,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clinton,1,0,0,0,0,14,1,0,0,0,0,3,0,0,0,0,0,5,0,0,1,8,0,0,0,0,1,0,0,573,0,0,0,0,7,0,0,0,0,1,0,3,0,0,0,1,4,0,0,1,0,0,2,0,0,15,0,5,0,0,0,0,0,0,0,7,0,0
Colchester,0,1,1,0,0,11,0,0,0,4,0,1,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,663,0,0,0,0,7,0,0,0,0,1,0,1,2,1,0,0,4,0,0,1,0,0,4,0,1,6,0,4,0,0,0,0,0,0,0,3,0,0
Colebrook,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0
Cornwall,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
Coventry,0,1,0,0,0,11,0,0,1,1,0,4,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,567,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Cromwell,0,2,3,0,0,40,0,0,0,6,0,9,0,0,1,0,0,8,0,0,12,5,3,0,0,0,2,0,0,1443,1,3,2,0,17,0,0,0,0,6,0,5,5,3,0,1,12,0,0,0,0,0,1,0,0,29,0,21,0,2,0,0,0,0,0,19,3,1
Danbury,2,16,43,0,0,140,7,1,4,20,0,56,3,2,4,0,0,83,0,1,67,10,19,0,2,0,18,2,1,8981,3,6,5,0,157,0,0,1,0,16,0,48,19,9,1,5,52,0,0,11,0,0,39,2,1,988,3,104,0,1,2,0,3,0,0,99,12,1
Darien,2,7,5,2,0,56,5,0,8,5,0,16,2,0,2,0,1,30,0,1,23,19,8,0,0,0,10,0,1,1907,4,2,4,0,46,0,0,0,0,5,0,15,6,1,0,4,22,0,0,8,0,0,23,1,2,219,0,68,1,0,0,1,1,0,0,19,7,0
Deep River,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,188,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0
Derby,0,1,1,0,0,21,0,0,0,2,0,9,0,0,0,0,1,2,0,0,14,1,2,0,0,0,1,0,0,1339,0,3,0,0,33,0,0,0,0,0,0,9,4,0,0,2,10,0,0,3,0,0,1,0,1,24,0,11,0,0,0,0,0,0,0,21,4,0
Durham,0,0,1,0,0,5,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,337,0,2,0,0,12,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0
East Granby,0,0,1,0,0,44,1,0,2,3,0,4,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,264,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,1,0
East Haddam,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,212,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,1,0
East Hampton,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,381,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,1,0
East Hartford,1,12,6,0,0,225,4,0,3,25,0,56,1,0,0,1,0,41,0,1,43,13,5,0,0,0,8,1,0,4607,2,8,3,0,51,0,0,0,1,16,1,16,13,2,0,3,16,0,0,2,0,0,25,3,4,88,2,56,0,0,0,1,0,0,0,40,7,0
East Haven,0,3,6,0,0,19,1,0,1,3,0,9,0,0,1,1,0,10,0,0,19,2,1,0,2,0,3,0,0,1882,1,1,0,0,51,0,0,0,0,1,0,2,1,1,0,0,7,0,0,2,0,0,7,0,0,19,0,18,0,1,1,0,1,0,0,12,0,0
East Lyme,0,0,2,0,0,34,0,1,2,5,0,12,0,0,0,0,0,16,0,0,8,31,6,0,0,0,4,0,0,924,0,1,1,0,9,0,0,0,0,3,0,5,3,2,0,1,10,0,0,3,0,0,2,0,1,29,0,29,0,0,1,0,0,0,0,5,5,0
East Windsor,0,2,0,0,0,141,0,0,1,7,0,7,0,0,0,0,0,6,0,0,3,1,4,0,0,0,3,0,0,922,0,2,1,1,8,0,0,0,0,1,0,4,1,0,0,1,5,0,0,0,0,0,4,0,2,20,0,4,0,0,0,1,0,0,0,3,1,0
Eastford,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
