Town,Total,Fatal,Injury,No_Injury
Andover,79,0,24,55
Ansonia,625,0,167,455
Ashford,127,0,45,82
Avon,681,0,139,540
Barkhamsted,123,0,33,89
Beacon Falls,213,0,56,157
Berlin,1312,0,372,939
Bethany,169,0,60,109
Bethel,830,0,151,679
Bethlehem,53,0,14,38
Bloomfield,1301,1,354,943
Bolton,156,0,43,113
Bozrah,91,0,26,65
Branford,1274,0,324,945
Bridgeport,11199,3,3151,7978
Bridgewater,52,1,19,33
Bristol,2828,0,672,2139
Brookfield,786,0,185,599
Brooklyn,214,1,65,148
Burlington,185,1,63,120
Canaan,58,0,14,44
Canterbury,117,0,32,84
Canton,381,0,73,307
Chaplin,86,0,27,59
Cheshire,1158,0,293,862
Chester,115,0,26,89
Clinton,427,0,86,331
Colchester,465,1,115,349
Colebrook,40,0,16,24
Columbia,145,100,52,92
Cornwall,58,0,18,40
Coventry,420,0,109,298
Cromwell,969,0,222,739
Danbury,6183,2,1253,4901
Darien,1387,0,313,1068
Deep River,135,0,27,108
Derby,812,0,151,659
Durham,222,0,57,164
East Granby,207,0,61,146
East Haddam,170,0,51,116
East Hampton,245,1,65,179
East Hartford,2960,0,776,2173
East Haven,1164,1,298,862
East Lyme,646,0,150,495
East Windsor,655,0,188,464
Eastford,48,0,19,29
Easton,267,0,81,184
Ellington,305,0,83,222
Enfield,1442,1,448,983
Essex,132,0,30,101
Fairfield,3661,2,753,2896
Farmington,1755,0,374,1376
Franklin,124,0,35,89
Glastonbury,1141,0,268,866
Goshen,70,0,28,42
Granby,290,1,71,217
Greenwich,3361,0,568,2784
Griswold,294,0,69,223
Groton,1522,0,274,1236
Guilford,748,0,180,566
Haddam,279,0,82,196
Hamden,3669,0,789,2864
Hampton,43,0,7,35
Hartford,13182,3,3550,9628
Hartland,30,0,13,16
Harwinton,217,0,51,166
Hebron,150,0,42,108
Kent,62,0,20,42
Killingly,676,0,146,528
Killingworth,133,0,45,88
Lebanon,175,0,56,119
Ledyard,304,1,69,234
Lisbon,217,0,56,160
Litchfield,388,0,95,290
Lyme,31,0,10,21
Madison,555,0,131,421
Manchester,3043,0,896,2137
Mansfield,794,0,161,623
Marlborough,238,0,60,177
Mashantucket,2,0,0,2
Meriden,4204,2,1087,3109
Middlebury,540,0,140,397
Middlefield,150,0,40,108
Middletown,3011,1,687,2319
Milford,3217,0,1008,2208
Monroe,791,0,194,594
Montville,794,0,180,608
Morris,69,0,18,51
Naugatuck,1108,1,251,847
New Britain,3093,1,907,2166
New Canaan,812,0,167,641
New Fairfield,225,0,53,172
New Hartford,235,2,65,167
New Haven,12918,2,3602,9287
New London,1802,1,359,1438
New Milford,1104,0,282,819
Newington,1620,0,446,1172
Newtown,1574,0,337,1232
Norfolk,48,0,15,33
North Branford,422,0,117,302
North Canaan,121,0,30,91
North Haven,2254,0,601,1646
North Stonington,244,0,49,195
Norwalk,6148,2,1158,4970
Norwich,2474,0,505,1964
Old Lyme,303,0,82,220
Old Saybrook,550,1,85,465
Orange,1829,1,468,1358
Oxford,352,0,88,262
Plainfield,574,1,146,425
Plainville,1086,0,310,773
Plymouth,411,0,125,279
Pomfret,107,0,33,73
Portland,307,0,74,231
Preston,271,1,82,188
Prospect,272,0,76,195
Putnam,343,0,77,266
Redding,364,0,69,294
Ridgefield,754,0,113,635
Rocky Hill,1090,0,290,795
Roxbury,88,0,18,69
Salem,109,0,40,69
Salisbury,144,0,29,114
Scotland,40,0,15,25
Seymour,736,1,164,570
Sharon,86,0,21,63
Shelton,1572,0,377,1187
Sherman,90,0,28,62
Simsbury,650,1,134,513
Somers,203,1,58,144
South Windsor,811,0,258,549
Southbury,902,1,194,702
Southington,2100,1,493,1600
Sprague,59,0,14,45
Stafford,276,1,73,202
Stamford,9997,2,1884,8088
Sterling,58,0,18,39
Stonington,793,2,205,582
Stratford,3186,0,715,2455
Suffield,398,0,117,281
Thomaston,436,1,102,331
Thompson,271,0,81,188
Tolland,451,0,106,344
Torrington,1500,0,311,1176
Trumbull,2037,1,469,1548
Union,104,0,24,80
Vernon,1465,1,357,1105
Voluntown,67,0,23,44
Wallingford,2420,0,592,1807
Warren,21,0,5,16
Washington,121,0,31,89
Waterbury,10299,2,2721,7521
Waterford,1091,0,268,819
Watertown,759,1,187,563
West Hartford,3127,1,911,2205
West Haven,3257,0,802,2449
Westbrook,247,0,73,172
Weston,106,1,26,79
Westport,2270,5,547,1716
Wethersfield,1567,0,331,1232
Willington,218,0,52,165
Wilton,886,0,203,683
Winchester,478,1,94,379
Windham,896,0,227,663
Windsor,2039,2,505,1523
Windsor Locks,610,0,148,460
Wolcott,440,0,127,312
Woodbridge,548,0,156,388
Woodbury,258,0,77,181
Woodstock,159,0,51,107
