CrashTownName,Total,Fatals,Injury,No_Injury
Ansonia,12,0,11,1
Ashford,2,0,2,0
Avon,13,1,11,1
Beacon Falls,1,0,1,0
Berlin,10,2,7,1
Bethany,1,1,0,0
Bethel,14,0,11,3
Bloomfield,11,1,9,1
Bolton,1,0,1,0
Bozrah,2,0,2,0
Branford,23,0,17,6
Bridgeport,305,6,269,28
Bristol,50,3,46,1
Brookfield,9,2,6,1
Brooklyn,3,1,2,0
Canton,2,1,1,0
Chaplin,1,0,0,1
Cheshire,12,1,11,0
Chester,1,0,1,0
Clinton,5,0,2,3
Colchester,4,0,4,0
Columbia,2,0,1,1
Coventry,4,0,3,0
Cromwell,6,0,5,1
Danbury,99,5,82,12
Darien,31,0,27,4
Deep River,1,0,1,0
Derby,9,1,7,1
Durham,1,0,1,0
East Granby,4,0,4,0
East Hampton,1,0,1,0
East Hartford,40,1,33,6
East Haven,21,3,16,2
East Lyme,9,0,8,1
East Windsor,6,1,5,0
Eastford,1,0,1,0
Ellington,3,0,2,1
Enfield,21,2,12,7
Fairfield,45,1,39,5
Farmington,12,1,10,1
Glastonbury,20,3,15,2
Goshen,1,0,1,0
Granby,4,1,3,0
Greenwich,50,1,45,4
Griswold,1,0,1,0
Groton,21,1,16,4
Guilford,8,0,2,6
Haddam,1,0,1,0
Hamden,65,4,51,10
Hartford,398,10,352,36
Harwinton,3,1,2,0
Kent,2,0,1,1
Killingly,3,0,3,0
Killingworth,2,0,1,1
Lebanon,1,0,1,0
Ledyard,1,0,0,1
Litchfield,8,0,5,3
Madison,6,0,5,1
Manchester,62,6,46,9
Mansfield,12,1,9,2
Marlborough,2,0,2,0
Meriden,73,3,66,4
Middlebury,3,0,2,1
Middlefield,4,0,3,1
Middletown,61,2,49,10
Milford,80,1,73,6
Monroe,4,0,4,0
Montville,4,0,4,0
Morris,1,0,1,0
Naugatuck,25,0,23,2
New Britain,189,2,89,98
New Canaan,11,1,10,0
New Fairfield,2,0,2,0
New Hartford,3,2,0,0
New Haven,470,18,387,65
New London,51,0,41,10
New Milford,7,1,4,2
Newington,19,1,18,0
Newtown,2,0,1,1
Norfolk,1,0,1,0
North Branford,5,0,2,3
North Canaan,2,0,1,1
North Haven,16,2,13,1
North Stonington,1,1,0,0
Norwalk,145,3,119,22
Norwich,44,0,36,8
Old Lyme,2,0,2,0
Old Saybrook,14,1,11,2
Orange,8,2,6,0
Oxford,1,0,1,0
Plainfield,6,0,4,2
Plainville,8,0,7,1
Plymouth,7,0,6,1
Portland,2,0,1,1
Preston,1,0,1,0
Prospect,3,0,3,0
Putnam,5,0,5,0
Ridgefield,8,0,7,1
Rocky Hill,8,1,6,1
Roxbury,1,0,1,0
Salem,2,0,2,0
Salisbury,4,0,3,1
Seymour,9,0,7,2
Sharon,1,0,1,0
Shelton,14,0,11,3
Simsbury,12,0,11,1
Somers,1,0,0,1
South Windsor,7,0,7,0
Southbury,3,0,3,0
Southington,19,0,16,3
Sprague,1,0,1,0
Stafford,4,0,4,0
Stamford,245,2,228,15
Stonington,17,1,13,3
Stratford,53,2,46,5
Suffield,3,0,3,0
Thomaston,2,0,1,1
Tolland,1,0,1,0
Torrington,19,0,17,2
Trumbull,18,2,15,0
Vernon,13,2,10,1
Voluntown,1,0,1,0
Wallingford,22,3,19,0
Washington,1,0,1,0
Waterbury,256,9,215,30
Waterford,16,0,14,2
Watertown,6,0,5,1
West Hartford,65,2,57,6
West Haven,86,3,70,13
Westbrook,2,1,1,0
Westport,24,1,20,3
Wethersfield,7,0,5,2
Willington,1,0,1,0
Wilton,12,0,11,1
Winchester,6,0,5,1
Windham,16,0,14,2
Windsor,19,2,16,1
Windsor Locks,7,0,7,0
Wolcott,2,1,1,0
Woodbridge,2,0,2,0
Woodbury,2,0,1,1
Woodstock,3,0,3,0
