CrashDateYear,Description,Count
2018,Dry,17608
2018,Ice / Frost,292
2018,Moving Water,6
2018,"Mud, Dirt, Gravel",24
2018,Oil,1
2018,Other,20
2018,Sand,7
2018,Slush,101
2018,Snow,822
2018,Standing Water,11
2018,Wet,4616
2019,Dry,88383
2019,Ice / Frost,1823
2019,Moving Water,38
2019,"Mud, Dirt, Gravel",121
2019,Oil,9
2019,Other,76
2019,Sand,97
2019,Slush,1151
2019,Snow,2403
2019,Standing Water,60
2019,Wet,17858
2020,Dry,45576
2020,Ice / Frost,296
2020,Moving Water,22
2020,"Mud, Dirt, Gravel",62
2020,Oil,7
2020,Other,23
2020,Sand,12
2020,Slush,118
2020,Snow,718
2020,Standing Water,17
2020,Wet,7334
