CrashDateMonth,Description,Count
January,Dry,13648
January,Ice / Frost,827
January,Moving Water,5
January,"Mud, Dirt, Gravel",16
January,Oil,1
January,Other,19
January,Sand,26
January,Slush,248
January,Snow,1095
January,Standing Water,9
January,Wet,2452
February,Dry,12269
February,Ice / Frost,428
February,Moving Water,3
February,"Mud, Dirt, Gravel",13
February,Oil,2
February,Other,13
February,Sand,31
February,Slush,374
February,Snow,758
February,Standing Water,7
February,Wet,3135
March,Dry,12384
March,Ice / Frost,243
March,Moving Water,2
March,"Mud, Dirt, Gravel",14
March,Other,4
March,Sand,16
March,Slush,201
March,Snow,648
March,Standing Water,7
March,Wet,1785
April,Dry,9414
April,Ice / Frost,6
April,Moving Water,12
April,"Mud, Dirt, Gravel",19
April,Oil,1
April,Other,6
April,Sand,2
April,Slush,8
April,Snow,15
April,Standing Water,15
April,Wet,2883
May,Dry,12981
May,Ice / Frost,1
May,Moving Water,2
May,"Mud, Dirt, Gravel",14
May,Oil,3
May,Other,5
May,Sand,3
May,Standing Water,6
May,Wet,2436
June,Dry,14401
June,Moving Water,1
June,"Mud, Dirt, Gravel",24
June,Oil,3
June,Other,11
June,Sand,3
June,Standing Water,4
June,Wet,2052
July,Dry,15373
July,Moving Water,8
July,"Mud, Dirt, Gravel",28
July,Oil,3
July,Other,8
July,Sand,2
July,Standing Water,4
July,Wet,1465
August,Dry,15392
August,Ice / Frost,1
August,Moving Water,8
August,"Mud, Dirt, Gravel",22
August,Oil,1
August,Other,6
August,Sand,4
August,Standing Water,5
August,Wet,1634
September,Dry,11440
September,Ice / Frost,1
September,Moving Water,4
September,"Mud, Dirt, Gravel",19
September,Oil,1
September,Other,5
September,Sand,1
September,Standing Water,2
September,Wet,1271
October,Dry,8134
October,Ice / Frost,5
October,Moving Water,8
October,"Mud, Dirt, Gravel",13
October,Oil,1
October,Other,11
October,Sand,1
October,Slush,1
October,Snow,2
October,Standing Water,10
October,Wet,3317
November,Dry,12280
November,Ice / Frost,123
November,Moving Water,3
November,"Mud, Dirt, Gravel",8
November,Other,14
November,Sand,2
November,Slush,69
November,Snow,685
November,Standing Water,3
November,Wet,2633
December,Dry,13851
December,Ice / Frost,776
December,Moving Water,10
December,"Mud, Dirt, Gravel",17
December,Oil,1
December,Other,17
December,Sand,25
December,Slush,469
December,Snow,740
December,Standing Water,16
December,Wet,4745
