CrashTownName,Description,Count
Andover,Dry,66
Andover,Ice / Frost,4
Andover,Snow,4
Andover,Wet,5
Ansonia,Dry,507
Ansonia,Ice / Frost,4
Ansonia,Sand,2
Ansonia,Slush,4
Ansonia,Snow,5
Ansonia,Wet,102
Ashford,Dry,86
Ashford,Ice / Frost,4
Ashford,"Mud, Dirt, Gravel",5
Ashford,Slush,4
Ashford,Snow,11
Ashford,Wet,17
Avon,Dry,512
Avon,Ice / Frost,14
Avon,"Mud, Dirt, Gravel",1
Avon,Slush,6
Avon,Snow,29
Avon,Wet,114
Barkhamsted,Dry,86
Barkhamsted,Ice / Frost,1
Barkhamsted,"Mud, Dirt, Gravel",3
Barkhamsted,Slush,6
Barkhamsted,Snow,5
Barkhamsted,Wet,20
Beacon Falls,Dry,146
Beacon Falls,Ice / Frost,10
Beacon Falls,Other,1
Beacon Falls,Slush,5
Beacon Falls,Snow,5
Beacon Falls,Wet,46
Berlin,Dry,992
Berlin,Ice / Frost,20
Berlin,Other,1
Berlin,Slush,19
Berlin,Snow,29
Berlin,Wet,250
Bethany,Dry,131
Bethany,Ice / Frost,5
Bethany,Slush,2
Bethany,Snow,8
Bethany,Wet,22
Bethel,Dry,637
Bethel,Ice / Frost,12
Bethel,Moving Water,1
Bethel,Oil,1
Bethel,Other,3
Bethel,Sand,1
Bethel,Slush,5
Bethel,Snow,16
Bethel,Wet,154
Bethlehem,Dry,39
Bethlehem,Other,1
Bethlehem,Snow,5
Bethlehem,Wet,8
Bloomfield,Dry,1038
Bloomfield,Ice / Frost,19
Bloomfield,"Mud, Dirt, Gravel",2
Bloomfield,Other,1
Bloomfield,Slush,10
Bloomfield,Snow,24
Bloomfield,Wet,200
Bolton,Dry,117
Bolton,Ice / Frost,2
Bolton,Other,1
Bolton,Slush,2
Bolton,Snow,5
Bolton,Wet,28
Bozrah,Dry,61
Bozrah,Ice / Frost,7
Bozrah,Slush,1
Bozrah,Snow,2
Bozrah,Wet,20
Branford,Dry,1070
Branford,Ice / Frost,10
Branford,"Mud, Dirt, Gravel",3
Branford,Slush,4
Branford,Snow,9
Branford,Wet,177
Bridgeport,Dry,9289
Bridgeport,Ice / Frost,82
Bridgeport,Moving Water,5
Bridgeport,"Mud, Dirt, Gravel",2
Bridgeport,Other,3
Bridgeport,Slush,29
Bridgeport,Snow,108
Bridgeport,Standing Water,3
Bridgeport,Wet,1598
Bridgewater,Dry,43
Bridgewater,Ice / Frost,1
Bridgewater,Slush,1
Bridgewater,Snow,1
Bridgewater,Wet,6
