Drug,Fatal,Non-Fatal,Total
"Ethanol                                 ",204,570,774
"Cannabinoids                            ",91,263,354
"Cocaine                                 ",46,133,179
"THC                                     ",41,135,176
"Methadone                               ",26,111,137
"Benzodiazepines                         ",33,91,124
"Opiate                                  ",35,79,114
"Fentanyl                                ",19,63,82
"PCP                                     ",22,54,76
"Amphetamine                             ",20,42,62
