"Vehicle Make",Count
honda,39085
toyota,35916
ford,34075
nissan,29684
chevrolet,21299
jeep,14955
subaru,14476
hyundai,13060
dodge,8768
bmw,7680
acura,7073
kia,6738
mazda,6178
gmc,6126
volkswagen,5645
lexus,4928
audi,4775
hond,4666
chev,3843
volvo,3582
mercedes-benz,3521
niss,3500
infiniti,3438
toyt,3239
buick,3203
chrysler,3099
suba,2233
cadillac,1970
mitsubishi,1911
toyo,1884
ram,1829
hyun,1814
chevy,1689
lincoln,1439
dodg,1351
mercury,1226
saturn,1221
freightliner,1199
volk,1116
pontiac,1108
frht,1044
mercedesbenz,837
international,827
landrover,813
mercedes,788
mazd,770
volkswagon,751
volv,737
acur,712
suzuki,677
saab,597
mack,593
mini,580
isuzu,556
newflyer,536
merc,526
hino,501
chry,490
bavarianmotorworks,490
generalmotorscorp,480
kenworth,442
unk,438
kw,420
harley-davidson,420
porsche,411
merz,402
buic,397
ptrb,396
intl,369
infi,366
jaguar,336
peterbilt,335
oldsmobile,322
cadi,320
infinity,304
other,301
yamaha,281
tesla,281
mits,280
vw,269
iccorporation,254
lexs,247
lexu,244
frt,244
thomas,228
linc,198
pont,197
chevr,190
volks,182
fiat,171
hyund,171
kawasaki,159
toy,153
harleydavidson,147
bluebird,137
int,132
toyot,126
jeep(after1988),124
hummer,121
freight,121
hd,117
evading,113
icco,108
peterbuilt,107
strn,107
fre,106
land,104
nissa,102
kiamotorcompa,100
subar,97
ftl,96
geo,95
grumman,93
ken,85
thoma,85
plymouth,83
hyundia,82
freightlinerco,75
hon,74
mitsubishifuso,73
freightlin,73
sterling,72
alfaromeo,70
maserati,69
inter,67
harl,66
suzi,66
saa,66
gillig,66
internationalharvester,65
lndr,64
satu,63
cheverolet,61
pors,61
hyundi,61
sub,60
merce,60
mac,58
vol,57
frei,56
pierce,56
evaded,55
olds,54
ic,54
unkown,54
vpg,52
scion,52
taotao,51
trek,50
isu,50
for,49
nova,47
mercedez,47
chrys,46
yama,46
hyu,46
infin,46
mitsu,45
nis,45
integratedcoach(ic),44
internationalh,44
n/a,44
freig,44
johndeere,41
sutphen,39
pete,38
mci,38
oth,38
mnni,38
wstr,37
internatio,36
bmw(germany),36
suzu,36
kenw,35
chevorlet,35
lex,34
inte,34
frg,34
suburu,33
jee,33
jagu,33
triumph,32
harley,32
minicooper,32
cadilac,31
westernstar,31
gm,30
genesis,30
frtl,30
smart,29
workhorse,28
mini(cooper/co,28
polaris,28
mb,28
hin,27
generalmotors,27
thms,27
uknown,26
vlv,26
peter,26
tesl,26
nissandiesel,26
kenworthnorthw,26
che,25
frh,25
cadil,25
ster,24
teslamotors,24
bicycle,23
rangerover,23
blue,22
alfa,22
huffy,22
mongoose,22
specialized,21
gill,21
cannondale,21
icebear,21
frght,21
nova60',20
peterbuiltmoto,20
kawk,20
nissian,20
kiamotorscorporation,20
bus,20
ihc,20
oshkosh,19
cad,19
kiamotorscorp,19
freightlinercorp.,19
mercedesb,19
acu,18
grummanallied,18
aud,18
thom,18
donu,18
schwinn,17
linco,17
spartan,17
evadingvehicle,17
moped,17
isuz,17
caterpillar,17
ktm,17
pet,17
chrystler,16
frghtlnr,16
thomasbuilt,16
hyunda,16
greatdane,16
scooter,16
wolf,16
ramb,16
autocarllc,16
macktrucks,16
cam,16
giant,16
gilli,15
min,15
unkn,15
cat,15
toyta,15
seagrave,15
infinti,15
ducati,15
icc,15
maz,14
generalmotorscorp.,14
smeal,14
toyoya,14
frieghtliner,14
oshk,14
kenwo,14
volkwagon,13
cheverlot,13
dod,13
johndeer,13
vip,13
ptrblt,12
e-one,12
gdan,12
inf,12
chevrole,12
plym,12
victory,12
mercedezbenz,12
vanh,12
uhaul,12
tao,12
internat,12
ptr,11
humm,11
elgin,11
porsc,11
dieseltransit,11
ot,11
perterbuilt,11
ptb,11
newflyerbus,11
pbt,11
cooper,11
none,11
util,11
totota,11
dodgeram,11
van,11
blub,11
hytr,11
utility,11
mck,11
saturncorporat,11
fl,10
volkswag,10
ponti,10
diamondback,10
kawa,10
bintelli,10
mit,10
newf,10
toytoa,10
fvci,10
triu,10
bobcat,10
bigte,10
prevost,10
volkwagen,10
kymco,10
mcin,10
kubota,10
scio,9
gruman,9
chr,9
nfxd40,9
wanc,9
frieght,9
2014,9
hundai,9
rambler,9
americanmotors,9
autocar,9
nova60,9
flr,9
internatin,9
mase,9
kia.,8
hyudai,8
cp,8
bmx,8
specializedvehicleseetcicm,8
advancemixer,8
frgh,8
chevrolete,8
engf,8
chevey,8
auto,8
ram.,8
taizhou,8
wabash,8
bmw.,8
llv,8
prev,8
usps,8
roadmaster,7
ferrari,7
peterbiltmotorsco.,7
hona,7
na,7
bigtex,7
unknow,7
porche,7
nisan,7
orion,7
stri,7
u,7
schoolbus,7
mazada,7
toytota,7
autoc,7
marion,7
mailtruck,7
carry,7
thomasbuiltbu,7
lin,7
raleigh,7
gmc.,7
novabus,7
frhtlnr,7
frgt,7
merced,7
wes,7
ste,7
bentley,6
satur,6
taotaoscooter,6
ferrara,6
mercbenz,6
telsa,6
fleet,6
transitbus,6
nisssan,6
preo,6
kenwood,6
homemade,6
chysler,6
unknwon,6
chyrsler,6
hynd,6
hyndai,6
llv-a,6
trai,6
amer,6
trailer,6
eagle,6
indian,6
collins,6
eagerbeaver,6
hyd,6
hyunday,6
infinty,6
ccc,5
mercu,5
buell,5
can-am,5
spconstr,5
eldorado,5
novahybrid,5
intern,5
kovatch,5
homem,5
cranecarrier,5
indianmotorcyc,5
heil,5
pb,5
doge,5
jag,5
subura,5
chev.,5
mercedez-benz,5
hme,5
internationalcoachmfg.,5
husqvarna,5
bui,5
hinotruck,5
flt,5
rover,5
crysler,5
bluesilver,5
vespa,5
west,5
genuine,5
harle,5
suv,5
volswagon,5
2016,5
sabaru,5
mbenz,5
frightliner,5
volswagen,5
ferrera,5
infinite,5
trim,5
strg,5
fuji,5
infinit,5
compo,4
hybrid,4
newholland,4
grum,4
hondaaccord,4
midbus,4
dirtbike,4
kaufm,4
poniac,4
pblt,4
vnhl,4
mobil,4
white,4
hyuandai,4
unk.,4
workh,4
subuaru,4
lincon,4
pola,4
next,4
chrsyler,4
porshe,4
lnd,4
utilitytrailer,4
2010,4
hyuandi,4
lotus,4
mitsubushi,4
johnd,4
adly,4
forestriver,4
izuzu,4
nwfl,4
bigt,4
landollcorp,4
western,4
caddilac,4
atv,4
zhejiang,4
taizhouzhongneng,4
daewoo,4
peterbuil,4
fona,4
fhrt,4
2006,4
tt,4
porsch,4
zhng,4
civic,4
winn,4
timp,4
por,4
freighliner,4
subr,4
kme,4
jagua,4
kent,4
jamis,4
aprilia,4
2008,4
deere,4
kauf,4
navistar,4
ud,4
suret,4
firetruck,4
sure-trac,4
stou,4
internati,4
sterl,3
hendrickson,3
fruehauf,3
ukn,3
rollsroyce,3
nf,3
wab,3
east,3
hinda,3
waba,3
indianmotorcycleco.,3
iccorp,3
knwr,3
camry,3
emergencyone,3
